Name,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team
Ross Stewart,sct SCO,FW,28,12,4,389,1,0,0,1,0,1.1,0,Southampton
Ryan Fraser,sct SCO,"FW,DF",30,8,4,306,0,0,0,0,1,0,0.1,Southampton
Charlie Taylor,eng ENG,DF,30,8,3,356,0,0,0,1,0,0,0.1,Southampton
Joe Lumley,eng ENG,GK,29,3,3,270,0,0,0,0,0,0,0,Southampton
Armel Bella Kotchap,de GER,DF,22,4,2,331,0,0,0,0,0,0.3,0,Southampton
Albert Grønbaek,dk DEN,"FW,MF",23,4,2,143,0,0,0,0,0,0.1,0,Southampton
Jay Robinson,eng ENG,"MF,FW",17,4,1,137,0,0,0,0,0,0,0.7,Southampton
Maxwel Cornet,ci CIV,FW,27,2,1,72,0,0,0,1,0,0.2,0,Southampton
Samuel Edozie,eng ENG,"DF,FW",21,2,0,65,0,0,0,1,0,0,0.1,Southampton
Samuel Amo-Ameyaw,eng ENG,"FW,DF",18,2,0,28,0,0,0,1,0,0,0.1,Southampton
Joachim Kayi Sanda,fr FRA,DF,17,2,0,14,0,0,0,0,0,0,0,Southampton
Ronnie Edwards,eng ENG,DF,21,1,0,12,0,0,0,0,0,0,0,Southampton
Carlos Alcaraz,ar ARG,MF,21,1,0,10,0,0,0,0,0,0.1,0.1,Southampton
Jayden Moore,,DF,,0,0,,,,,,,,,Southampton
Joe O'Brien-Whitmarsh,ie IRL,MF,,0,0,,,,,,,,,Southampton
Pedro Porro,es ESP,DF,24,33,28,2610,2,6,0,5,0,1.6,5,Tottenham-Hotspur
Dejan Kulusevski,se SWE,"MF,FW",24,32,27,2389,7,4,0,3,0,4.2,6.2,Tottenham-Hotspur
Dominic Solanke,eng ENG,FW,26,27,25,2201,9,3,1,0,0,10.9,2.9,Tottenham-Hotspur
Brennan Johnson,wls WAL,FW,23,33,24,2177,11,3,0,5,0,10.4,2.3,Tottenham-Hotspur
Guglielmo Vicario,it ITA,GK,27,24,24,2160,0,0,0,1,0,0,0,Tottenham-Hotspur
Son Heung-min,kr KOR,FW,32,30,24,2110,7,9,1,1,0,7.2,8.2,Tottenham-Hotspur
Destiny Udogie,it ITA,DF,21,25,24,1924,0,1,0,2,0,0.3,1.5,Tottenham-Hotspur
Pape Matar Sarr,sn SEN,MF,21,36,22,1913,3,2,0,6,0,3.7,1.6,Tottenham-Hotspur
James Maddison,eng ENG,MF,27,31,21,1809,9,7,0,6,0,5.8,4.2,Tottenham-Hotspur
Rodrigo Bentancur,uy URU,MF,27,26,21,1645,2,0,0,9,0,1.3,0.4,Tottenham-Hotspur
Djed Spence,eng ENG,DF,23,25,19,1792,1,2,0,4,1,0.6,1.8,Tottenham-Hotspur
Archie Gray,eng ENG,"DF,MF",18,28,19,1751,0,0,0,1,0,0,0.1,Tottenham-Hotspur
Cristian Romero,ar ARG,DF,26,18,18,1416,1,0,0,3,0,1.6,0.6,Tottenham-Hotspur
Yves Bissouma,ml MLI,MF,27,28,16,1408,2,0,0,7,0,0.6,0.3,Tottenham-Hotspur
Ben Davies,wls WAL,DF,31,17,14,1331,0,0,0,5,0,0.3,0.2,Tottenham-Hotspur
Radu Drăgușin,ro ROU,DF,22,16,14,1252,0,0,0,1,0,0.1,0.4,Tottenham-Hotspur
Micky van de Ven,nl NED,DF,23,13,12,1015,0,2,0,4,0,0.6,1.2,Tottenham-Hotspur
Lucas Bergvall,se SWE,MF,18,27,11,1212,0,1,0,3,0,0.7,0.6,Tottenham-Hotspur
Mathys Tel,fr FRA,FW,19,13,11,911,2,1,1,2,0,3,2.6,Tottenham-Hotspur
Wilson Odobert,fr FRA,"FW,MF",19,16,9,850,1,0,0,0,0,1.6,1,Tottenham-Hotspur
Kevin Danso,at AUT,DF,25,10,9,842,0,0,0,0,0,0.4,0.1,Tottenham-Hotspur
Fraser Forster,eng ENG,GK,36,7,7,630,0,0,0,0,0,0,0,Tottenham-Hotspur
Antonín Kinský,cz CZE,GK,21,6,6,540,0,0,0,0,0,0,0.1,Tottenham-Hotspur
Timo Werner,de GER,"FW,MF",28,18,4,516,0,3,0,0,0,1,2.5,Tottenham-Hotspur
Richarlison,br BRA,FW,27,15,4,504,4,1,0,2,0,3.7,0.9,Tottenham-Hotspur
Mikey Moore,eng ENG,FW,16,10,3,366,0,1,0,0,0,0.2,0.3,Tottenham-Hotspur
Sergio Reguilón,es ESP,DF,27,4,1,196,0,0,0,2,0,0.1,0,Tottenham-Hotspur
Brandon Austin,eng ENG,GK,25,1,1,90,0,0,0,0,0,0,0,Tottenham-Hotspur
Dane Scarlett,eng ENG,"FW,MF",20,3,0,34,0,1,0,0,0,0,0,Tottenham-Hotspur
Alfie Dorrington,eng ENG,DF,19,1,0,14,0,0,0,0,0,0,0,Tottenham-Hotspur
Will Lankshear,eng ENG,"FW,MF",19,3,0,11,0,0,0,0,0,0,0,Tottenham-Hotspur
Oyindamola Ajayi,eng ENG,FW,18,0,0,,,,,,,,,Tottenham-Hotspur
Dante Cassanova,jm JAM,DF,20,0,0,,,,,,,,,Tottenham-Hotspur
Alfie Devine,eng ENG,MF,19,0,0,,,,,,,,,Tottenham-Hotspur
Malachi Hardy,eng ENG,DF,16,0,0,,,,,,,,,Tottenham-Hotspur
Maeson King,eng ENG,DF,18,0,0,,,,,,,,,Tottenham-Hotspur
Yang Minhyeok,kr KOR,MF,18,0,0,,,,,,,,,Tottenham-Hotspur
Callum Olusesi,eng ENG,MF,17,0,0,,,,,,,,,Tottenham-Hotspur
Alfie Whiteman,eng ENG,GK,25,0,0,,,,,,,,,Tottenham-Hotspur
Luca Williams Barnett,eng ENG,FW,15,0,0,,,,,,,,,Tottenham-Hotspur
Max Kilman,eng ENG,DF,27,38,38,3348,0,1,0,5,0,1.6,1.2,West-Ham-United
Aaron Wan-Bissaka,eng ENG,DF,26,36,35,3154,2,5,0,1,0,1.2,3.5,West-Ham-United
Jarrod Bowen,eng ENG,"FW,MF",27,34,34,2973,13,8,1,1,0,8.6,6.8,West-Ham-United
Mohammed Kudus,gh GHA,"FW,MF",23,32,31,2590,5,3,0,2,1,6.9,3.1,West-Ham-United
Tom� Sou?ek,cz CZE,MF,29,35,30,2567,9,1,0,8,0,6.7,1,West-Ham-United
Lucas Paquetá,br BRA,"MF,FW",26,33,27,2380,4,0,2,10,0,5.3,3.1,West-Ham-United
Emerson Palmieri,it ITA,DF,29,31,26,2113,2,1,0,5,0,2,1.5,West-Ham-United
Alphonse Areola,fr FRA,GK,31,26,25,2260,0,0,0,0,0,0,0,West-Ham-United
Konstantinos Mavropanos,gr GRE,DF,26,33,21,2045,0,0,0,6,1,1.5,0.5,West-Ham-United
Jean-Clair Todibo,fr FRA,DF,24,27,20,1825,0,0,0,3,0,0.4,0,West-Ham-United
Edson �lvarez,mx MEX,MF,26,28,20,1772,0,1,0,9,1,0.4,0.8,West-Ham-United
Guido Rodríguez,ar ARG,MF,30,23,16,1149,0,1,0,6,0,0.2,0.2,West-Ham-United
Carlos Soler,es ESP,"MF,FW",27,31,14,1409,1,1,0,6,0,1.8,1.4,West-Ham-United
�ukasz Fabiański,pl POL,GK,39,14,13,1160,0,0,0,2,0,0,0,West-Ham-United
James Ward-Prowse,eng ENG,MF,29,15,12,1039,1,1,0,2,0,1.6,1.9,West-Ham-United
Vladimír Coufal,cz CZE,DF,31,22,11,1067,0,0,0,5,0,0.3,0.7,West-Ham-United
Michail Antonio,jm JAM,FW,34,14,11,836,1,1,0,1,0,2.2,1.6,West-Ham-United
Aaron Cresswell,eng ENG,DF,34,18,10,824,0,0,0,3,0,0.2,1.3,West-Ham-United
Crysencio Summerville,nl NED,"FW,MF",22,19,7,786,1,1,0,2,0,1.6,1.7,West-Ham-United
Oliver Scarles,eng ENG,"DF,FW",18,15,7,665,0,0,0,1,0,0.1,0.1,West-Ham-United
Niclas Füllkrug,de GER,FW,31,18,6,790,3,2,0,2,0,2.2,1.9,West-Ham-United
Danny Ings,eng ENG,"FW,MF",32,15,1,284,1,2,0,0,0,2.3,1.3,West-Ham-United
Andy Irving,sct SCO,MF,24,10,1,166,0,0,0,2,0,0.1,0.2,West-Ham-United
Evan Ferguson,ie IRL,FW,19,8,1,156,0,0,0,0,0,0.6,0.3,West-Ham-United
Luis Guilherme,br BRA,"MF,FW",18,12,1,150,0,0,0,0,0,0.4,0.1,West-Ham-United
Lewis Orford,eng ENG,MF,18,2,0,49,0,0,0,0,0,0,0,West-Ham-United
Kaelan Casey,eng ENG,DF,19,1,0,1,0,0,0,0,0,0,0,West-Ham-United
Wes Foderingham,eng ENG,GK,33,0,0,,,,,,,,,West-Ham-United
Ezra Mayers,bb BRB,DF,17,0,0,,,,,,,,,West-Ham-United
Rayan Aït-Nouri,dz ALG,DF,23,37,37,3109,4,7,0,7,1,2.7,5.5,Wolverhampton-Wanderers
João Gomes,br BRA,MF,23,36,35,2974,3,1,0,11,1,2.9,1.2,Wolverhampton-Wanderers
Nélson Semedo,pt POR,DF,30,34,32,2886,0,4,0,8,0,0.9,2.8,Wolverhampton-Wanderers
André,br BRA,MF,23,33,31,2472,0,0,0,7,0,0.4,0.8,Wolverhampton-Wanderers
Toti Gomes,pt POR,DF,25,31,30,2614,0,1,0,7,0,0.7,0.9,Wolverhampton-Wanderers
Jørgen Strand Larsen,no NOR,FW,24,35,30,2587,14,4,0,4,0,10.3,3,Wolverhampton-Wanderers
José Sá,pt POR,GK,31,29,29,2609,0,0,0,2,0,0,0.2,Wolverhampton-Wanderers
Matheus Cunha,br BRA,"MF,FW",25,33,29,2597,15,6,0,4,0,8.6,7.7,Wolverhampton-Wanderers
Matt Doherty,ie IRL,DF,32,30,25,2109,2,1,0,6,0,1,1.5,Wolverhampton-Wanderers
Jean-Ricner Bellegarde,fr FRA,"MF,FW",26,35,20,1677,2,7,0,3,0,1.5,3.8,Wolverhampton-Wanderers
Santiago Bueno,uy URU,DF,25,29,18,1687,0,0,0,2,0,0.4,0,Wolverhampton-Wanderers
Emmanuel Agbadou,ci CIV,DF,27,16,16,1410,1,0,0,3,0,0.8,0.2,Wolverhampton-Wanderers
Mario Lemina,ga GAB,"MF,DF",30,17,15,1364,1,3,0,4,0,1.4,1.1,Wolverhampton-Wanderers
Marshall Munetsi,zw ZIM,"MF,FW",28,14,12,1078,2,1,0,0,0,3.3,1.8,Wolverhampton-Wanderers
Gonçalo Guedes,pt POR,"MF,FW",27,29,10,995,2,4,0,1,0,3.2,1.3,Wolverhampton-Wanderers
Craig Dawson,eng ENG,DF,34,15,10,971,0,0,0,2,0,0.5,0,Wolverhampton-Wanderers
Pablo Sarabia,es ESP,"MF,FW",32,23,7,814,3,2,0,3,0,2.9,1.8,Wolverhampton-Wanderers
Rodrigo Gomes,pt POR,"DF,FW",21,25,7,810,2,0,0,0,0,0.7,0.9,Wolverhampton-Wanderers
Sam Johnstone,eng ENG,GK,31,7,7,630,0,0,0,0,0,0,0,Wolverhampton-Wanderers
Hwang Hee-chan,kr KOR,"MF,FW",28,21,5,661,2,0,0,0,0,0.8,0.1,Wolverhampton-Wanderers
Yerson Mosquera,co COL,DF,23,5,5,441,0,0,0,2,0,0.3,0.1,Wolverhampton-Wanderers
Tommy Doyle,eng ENG,MF,22,24,3,488,0,1,0,1,0,0.6,0.5,Wolverhampton-Wanderers
Daniel Bentley,eng ENG,GK,31,2,2,180,0,0,0,0,0,0,0,Wolverhampton-Wanderers
Carlos Forbs,pt POR,"MF,FW",20,10,1,239,0,0,0,2,0,0.1,0,Wolverhampton-Wanderers
Pedro Lima,br BRA,DF,18,3,1,70,0,0,0,0,0,0.1,0.1,Wolverhampton-Wanderers
Nasser Djiga,bf BFA,DF,21,5,1,66,0,0,0,0,0,0,0,Wolverhampton-Wanderers
Daniel Podence,pt POR,"MF,FW",28,2,0,48,0,0,0,0,0,0,0,Wolverhampton-Wanderers
Chiquinho,pt POR,MF,24,1,0,7,0,0,0,0,0,0,0,Wolverhampton-Wanderers
Mateus Mane,,MF,,1,0,2,0,0,0,0,0,0,0,Wolverhampton-Wanderers
Tom King,wls WAL,GK,29,1,0,1,0,0,0,0,0,0,0,Wolverhampton-Wanderers
Alfie Pond,eng ENG,DF,20,1,0,1,0,0,0,0,0,0,0,Wolverhampton-Wanderers
Boubacar Traoré,ml MLI,MF,22,1,0,1,0,0,0,0,0,0,0,Wolverhampton-Wanderers
Tawanda Chirewa,zw ZIM,MF,20,0,0,,,,,,,,,Wolverhampton-Wanderers
Luke Cundle,eng ENG,MF,22,0,0,,,,,,,,,Wolverhampton-Wanderers
Tom Edozie,eng ENG,MF,18,0,0,,,,,,,,,Wolverhampton-Wanderers
Bastien Meupiyou,fr FRA,DF,18,0,0,,,,,,,,,Wolverhampton-Wanderers
Wesley Okoduwa,eng ENG,FW,16,0,0,,,,,,,,,Wolverhampton-Wanderers
